What animals must obtain a license in Newport News?;A city animal license is required for all dogs and cats within the city limits that are 4 months old or older.
What is the amount of the Vehicle Licensing Fee?;The fees for vehicle licensing are as follows:\n\nBoat Trailer: $7.50\nMotorcycle: $24.00\nPassenger Car Less than 4,000 pounds: $26.00\nPassenger Car More than 4,000 pounds: $31.00\nTruck Less than 4,000 pounds: $26.00\nTruck More than 10,000 pounds: $31.00 (plus $0.20 per 100 pounds)\nï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï
Where may I go to vote absentee in-person?;"You may vote at the following locations:
Office of the General Registrar
2400 Washington Ave.
6th Floor
Newport News, VA 23607
Satellite Office
Fountain Plaza II
700 Town Center Drive
2nd Floor
Newport News, VA 23606
Denbigh Community Center during the two calendar weeks prior to the November general election
15198 Warwick Boulevard
Room 152, Newport News, VA 23608
"
What does the waterworks department do?;The waterworks department is responsible for the construction, operation, and maintentce of the Newport News waterworks system along with other public utitilities acquired or operated by the city|
Can city employees get reimbursed for moving expenses?;Yes, the city manager may designate positions for which reasonable household goods moving expenses can be reimbursed when the employee is required to relocate to accept employment by the city.
Does the city offer workers compensation for city employees;"Yes, the fund known as ""Workmen's Compensation Fund"" can be used to pay claimms from inury or death in accordance iwht the Virginia Workmen's Compensation Act. 
Current city employees who canare unable to perform duties due to occupational injury or disease who are drawing temporary total disability benefits are eligible to receive supplemental compesnation for a two-year period immeidatly follwoing the date of injury. The compensation shall be calculated as the difference between the employee's pre-injury  net rate of pay and the workers compensation indemnity benefit."
Can I advertise my business as wholesale?;"Only if you are legitmately engaging in selling at wholesale the merchandise, goods, commidity or thing can you use the words ""wholesale"" or ""wholesaler"". Those who advertise as wholesale without actually engagin in wholesale sales are guilty of a Class 1 misdemeanor."
How much does it cost to license my dog?;"All dogs 4 months or older must obtain a license in the following amounts:
(1)Unsexed dogs and cats (neutered or spayed): $5.00
(2) Male or female dogs and cats: $10.00
(3)Dangerous or vicious dogs: $50.00 
To qualify for the lower tax applied to neutered dogs, you must bring a written veterinarian's certificate proving your dog has been neuterd at the time of purchase of the license. "
Can I feed free-roaming cats?;Unless designated as a colony manager by the Animal Control Officer (ACO), it is unlawful to provide food, water, and care to free-roaming cats. If you wish to feed free-roaming cats, you should consider applying to the ACO to become a colony manager.
Do I have to vaccinate my dog for rabies?;Yes, all dogs over the age of 4 months must be vaccinated with a vaccine license for rabies. If vaccination threatens the physical well-bein gof the dog, the owner is required to have a certificate signed by the licensed veterinarian and the animal is required to be quarantined until vaccinated.
Do I need to put a fence around my pool?;Yes, swimming pools must be completely enclosed by a substantial fence not less than 4 feet high, no more than  2 inches above the ground surface, and not closer than 5 feet from the swimming pool edge. The fence must be equal to or stronger than woven steel wire, chain link, picket or solid board type fence. The fence must have at least one gat with all gates being kept locked when the swimming pool is not in use. Violation of this section shall be punished by a fine of no more than $300 or imprisonment for no more than 30 days or both such fine and imprisonment.
Do Bike riders have to follow traffic rules?;Yes, bicycle riders on a road within city limits are subject to the same laws of the state and traffic ordinances of the city as motor vehicles, except when those provisions by their very nature have no application. 
